Title,Lokasi,Jumlah Kamar Tidur,Jumlah Kamar Mandi,Luas Tanah,Luas Bangunan,Car Port,Price,Timestamp
Dekat Sekolah,Makassar,4,6,451,385,2,15000000000,2025-05-15 14:01:07.354294
Dekat Tempat Ibadah,Makassar,5,5,425,368,2,10300000000,2025-05-15 14:01:07.354657
Dekat Sekolah,Makassar,4,3,180,219,1,3130000000,2025-05-15 14:01:07.355030
Siap Huni,Makassar,4,3,92,72,2,988000000,2025-05-15 14:01:07.355410
Dekat Akses Transportasi,Makassar,3,2,82,72,2,1430000000,2025-05-15 14:01:07.355772
Dekat Sekolah,Makassar,4,3,180,219,1,3140000000,2025-05-15 14:01:07.356125
Siap Huni,Makassar,4,4,198,162,0,3000000000,2025-05-15 14:01:07.356498
Dekat Sekolah,Makassar,4,4,219,180,0,3000000000,2025-05-15 14:01:07.356882
Dekat Akses Transportasi,Makassar,4,3,162,198,1,2850000000,2025-05-15 14:01:07.357270
"Rumah di Perumahan Taman Toraja, Jl. Danau Poso, Tanjung Merdeka, Tamalate, Kota Makassar, Sulawesi Selatan, Indonesia, 90225, Makassar Bagus SHM",Makassar,2,1,81,50,1,545000000,2025-05-15 14:01:07.357593
Rumah Sudut Harga Murah,Makassar,3,2,247,120,2,1500000000,2025-05-15 14:01:07.357974
Siap Huni,Makassar,5,5,500,1000,1,9750000000,2025-05-15 14:01:07.358345
Siap Huni,Makassar,1,1,600,450,1,4500000000,2025-05-15 14:01:07.358717
Bebas Banjir,Makassar,3,3,138,132,2,2800000000,2025-05-15 14:01:07.359057
Full Furnished,Makassar,7,4,450,900,0,15000000000,2025-05-15 14:01:07.359422
Dekat Akses Transportasi,Makassar,3,2,64,55,2,777000000,2025-05-15 14:01:07.359787
Bebas Banjir,Makassar,3,2,197,80,1,2020000000,2025-05-15 14:01:07.360170
Bebas Banjir,Makassar,3,2,197,80,1,2020000000,2025-05-15 14:01:07.360555
"Rumah di Kompleks Rafflesia Metro Tanjung Bunga, Jl. Metro Tanjung Bunga, Tanjung Merdeka, Tamalate, Kota Makassar, Sulawesi Selatan, Indonesia, 90225, Makassar Bagus SHM",Makassar,3,1,126,98,1,1100000000,2025-05-15 14:01:07.360920
Dekat Pusat Perbelanjaan,Makassar,4,2,84,80,2,955000000,2025-05-15 14:01:07.361281
Siap Huni,Makassar,5,2,144,144,0,1200000000,2025-05-15 14:01:09.719816
Dekat Pusat Perbelanjaan,Makassar,3,2,105,77,1,1000000000,2025-05-15 14:01:09.720179
"Dijual Cepat Rumah Di Tengah Kota Di Jl. Manggis, Makassar (cc)",Makassar,3,1,460,200,0,10000000000,2025-05-15 14:01:09.720477
Miliki Rumah Idaman di Mmm Residence Rumah Berkualitas,Makassar,2,2,84,60,1,480000000,2025-05-15 14:01:09.720821
Rumah Murah di Makasar,Makassar,2,1,60,40,0,260000000,2025-05-15 14:01:09.721134
Dekat Akses Transportasi,Makassar,3,2,82,77,0,1430000000,2025-05-15 14:01:09.721489
Siap Huni,Makassar,3,2,98,154,1,1700000000,2025-05-15 14:01:09.721821
RUMAH MEWAH MURAH,Makassar,4,3,227,400,0,4000000000,2025-05-15 14:01:09.722165
Siap Huni,Makassar,3,2,135,95,0,1500000000,2025-05-15 14:01:09.722533
Dijual Rumah Cantik 2 Lt Jl.s.saddang Baru Komp Green City 7x15m2,Makassar,3,3,95,96,0,3500000000,2025-05-15 14:01:09.722923
Jual Rumah 2 Lt Tyoe Amarilys Tanjung,Makassar,3,3,128,105,0,1750000000,2025-05-15 14:01:09.723795
Dekat Akses Transportasi,Makassar,4,2,84,75,1,1200000000,2025-05-15 14:01:09.724151
Bebas Banjir,Makassar,4,2,84,75,1,1200000000,2025-05-15 14:01:09.724766
Dekat Sekolah,Makassar,3,1,70,50,1,555000000,2025-05-15 14:01:09.725109
"Dijual Rumah Makassar sekitar jl Sungai Saddang, jl Abu Bakar Lambogo",Makassar,1,1,85,85,0,950000000,2025-05-15 14:01:09.725458
Siap Huni,Makassar,3,4,112,110,2,2200000000,2025-05-15 14:01:09.725799
Dekat Akses Transportasi,Makassar,4,4,171,144,1,3000000000,2025-05-15 14:01:09.726179
Dekat Akses Transportasi,Makassar,4,4,171,144,1,3000000000,2025-05-15 14:01:09.726528
Dekat Akses Transportasi,Makassar,4,4,171,144,1,3000000000,2025-05-15 14:01:12.078314
Full Furnished,Makassar,3,3,120,192,1,2500000000,2025-05-15 14:01:12.078661
Rumah Ready Unit 4 Kamar Tidur Luas 9x16 Di Anging Mammiri Makassar,Makassar,4,2,144,100,1,1100000000,2025-05-15 14:01:12.078957
Full Furnished,Makassar,6,3,334,600,2,5000000000,2025-05-15 14:01:12.079256
Rumah Mewah Ready Unit 11x18 Di Nuri Makassar. Free Ac 9 Unit.,Makassar,4,4,198,330,2,2700000000,2025-05-15 14:01:12.079544
Rumah 2 Lantai 3 Kamar Tidur Ukuran 8x15 Jalan Dg Tata Tengah Kota Makassar Dalam Perumahan,Makassar,3,2,120,100,1,875000000,2025-05-15 14:01:12.079847
Dekat Akses Transportasi,Makassar,4,2,75,84,1,1240000000,2025-05-15 14:01:12.080162
Dekat Akses Transportasi,Makassar,3,4,100,166,2,2210000000,2025-05-15 14:01:12.080477
Dekat Akses Transportasi,Makassar,4,4,198,141,1,2900000000,2025-05-15 14:01:12.080808
Dekat Akses Transportasi,Makassar,3,2,77,89,0,1500000000,2025-05-15 14:01:12.081136
Siap Huni,Makassar,4,4,159,300,1,2000000000,2025-05-15 14:01:12.081397
Dekat Pusat Perbelanjaan,Makassar,4,2,100,155,1,1870000000,2025-05-15 14:01:12.081700
Dekat Akses Transportasi,Makassar,3,2,60,67,0,779000000,2025-05-15 14:01:12.081993
Dekat Akses Transportasi,Makassar,1,1,39,60,0,300000000,2025-05-15 14:01:12.082287
Di.jual.rumah 1.di.jln.hertasning,Makassar,2,2,105,100,1,1750000000,2025-05-15 14:01:12.082572
Jual Rumah 2 Lt.dekt.kini.kuliner.tanjung Bunga,Makassar,3,2,180,210,1,2000000000,2025-05-15 14:01:12.082863
Subsidi,Makassar,2,2,50,57,1,765000000,2025-05-15 14:01:12.083155
Dekat Tempat Wisata,Makassar,2,3,66,84,0,998000000,2025-05-15 14:01:12.083431
Dekat Sekolah,Makassar,5,4,200,450,0,4200000000,2025-05-15 14:01:12.083726
Rumah 2 Lt Tengah Kota Dekat.kemana,Makassar,4,3,140,150,1,1000000000,2025-05-15 14:01:12.084012
Dekat Fasilitas Kesehatan,Makassar,1,1,60,25,0,370000000,2025-05-15 14:01:14.421889
Dekat Akses Transportasi,Makassar,2,2,55,64,0,800000000,2025-05-15 14:01:14.422227
RUMAH DI MAKASSAR,Makassar,4,3,300,250,0,12000000000,2025-05-15 14:01:14.422538
Siap Huni,Makassar,4,2,70,80,1,1000000000,2025-05-15 14:01:14.422831
DIJUAL Rumah griya hertamas hertasning lama dkt toddopuli 1 lantai,Makassar,2,1,112,85,1,1000000000,2025-05-15 14:01:14.423091
Dekat Sekolah,Makassar,3,2,98,88,0,1400000000,2025-05-15 14:01:14.423396
Dekat Sekolah,Makassar,3,2,98,88,0,1400000000,2025-05-15 14:01:14.423702
Bebas Banjir,Makassar,2,1,40,72,0,399000000,2025-05-15 14:01:14.424004
Subsidi,Makassar,1,2,75,173,0,3000000000,2025-05-15 14:01:14.424315
Bebas Banjir,Makassar,4,4,198,171,1,3000000000,2025-05-15 14:01:14.424649
Dekat Akses Transportasi,Makassar,3,2,75,70,1,760000000,2025-05-15 14:01:14.424952
Bebas Banjir,Makassar,4,3,150,164,2,3000000000,2025-05-15 14:01:14.425246
Siap Huni,Makassar,3,2,92,80,1,750000000,2025-05-15 14:01:14.425512
Siap Huni,Makassar,3,2,77,89,1,1400000000,2025-05-15 14:01:14.425847
Full Furnished,Makassar,4,3,144,150,0,1800000000,2025-05-15 14:01:14.426173
Rumah 2 Lantai.harga 809.juta Di Makassar,Makassar,2,2,50,58,1,809000000,2025-05-15 14:01:14.427245
Siap Huni,Makassar,6,3,180,270,1,2600000000,2025-05-15 14:01:14.427560
Dekat Pusat Perbelanjaan,Makassar,3,2,105,120,0,1200000000,2025-05-15 14:01:16.716325
Dekat Pusat Perbelanjaan,Makassar,3,2,105,120,0,1200000000,2025-05-15 14:01:16.716698
Dekat Akses Transportasi,Makassar,2,1,40,60,1,399000000,2025-05-15 14:01:16.717079
Siap Huni,Makassar,3,3,119,160,0,2500000000,2025-05-15 14:01:16.717450
Siap Huni,Makassar,3,3,119,160,0,2500000000,2025-05-15 14:01:16.717822
"Rumah Di Makassar, Citraland Tallasa City",Makassar,4,4,180,203,2,3920000000,2025-05-15 14:01:16.718198
Bebas Banjir,Makassar,2,1,72,40,0,399000000,2025-05-15 14:01:16.718544
Dekat Akses Transportasi,Makassar,3,2,60,67,0,786000000,2025-05-15 14:01:16.718906
DP 0%,Makassar,2,1,60,30,0,464000000,2025-05-15 14:01:16.719222
MUTIARA SPRINGS,Makassar,5,5,162,158,0,3280000000,2025-05-15 14:01:16.719572
Dekat Fasilitas Kesehatan,Makassar,4,3,111,140,0,2500000000,2025-05-15 14:01:16.719927
Siap Huni,Makassar,2,2,84,68,1,1200000000,2025-05-15 14:01:16.720282
Jual Rumah Jasmine Tanjung Bunga Dkt Dian Harapan Sekolah,Makassar,4,2,140,140,2,2000000000,2025-05-15 14:01:16.720581
Siap Huni,Makassar,4,3,80,260,0,2800000000,2025-05-15 14:01:16.720928
"Rumah 2 Lantai Bagus SHM di Makassar, Makassar",Makassar,3,2,70,150,0,1100000000,2025-05-15 14:01:16.721271
Rumah Bagus SHM Printis Makassar,Makassar,5,4,160,180,0,3250000000,2025-05-15 14:01:16.721668
Jual Rumah Ilma Green Residence Jl Toddopuli Raya Timur Dkt Mp,Makassar,2,1,95,50,1,1000000000,2025-05-15 14:01:16.722034
"Jual Rumah Jl Kelapa 3 Dkt Sungai Saddang , Pelita Raya , Tengah Kota",Makassar,2,2,105,50,1,750000000,2025-05-15 14:01:16.722349
Jual Rumah Samalona Tanjung Bunga Ada Kelebihan Tanah,Makassar,3,1,137,50,2,700000000,2025-05-15 14:01:16.722656
Dekat Sekolah,Makassar,5,5,180,203,0,3920000000,2025-05-15 14:01:16.723023
Siap Huni,Makassar,4,4,82,72,2,988000000,2025-05-15 14:01:19.040069
Rumah 2 Lantai Konsep Resort Lokasi Di Daya Tamalanrea,Makassar,3,3,120,105,2,1950000000,2025-05-15 14:01:19.040365
Dekat Akses Transportasi,Makassar,4,2,84,96,1,1250000000,2025-05-15 14:01:19.040669
Siap Huni,Makassar,3,2,91,75,2,1180000000,2025-05-15 14:01:19.040964
Siap Huni,Makassar,2,1,37,60,0,561000000,2025-05-15 14:01:19.041265
Full Furnished,Makassar,5,5,135,200,3,4500000000,2025-05-15 14:01:19.041566
Siap Huni,Makassar,2,2,64,55,3,774000000,2025-05-15 14:01:19.041882
Dekat Akses Transportasi,Makassar,2,1,60,37,0,554000000,2025-05-15 14:01:19.042169
Siap Huni,Makassar,4,4,219,180,2,2700000000,2025-05-15 14:01:19.042477
Dekat Sekolah,Makassar,6,4,5800,2000,0,45000000000,2025-05-15 14:01:19.042764
Siap Huni,Makassar,4,2,215,385,0,4500000000,2025-05-15 14:01:19.043784
Dekat Pusat Perbelanjaan,Makassar,3,2,87,143,1,3000000000,2025-05-15 14:01:19.044621
Dijual Cepat Rumah Tua Jl. Veteran Selatan Mks,Makassar,5,3,202,202,0,6500000000,2025-05-15 14:01:19.044878
Siap Huni,Makassar,3,2,72,90,1,935000000,2025-05-15 14:01:21.358841
Dekat Fasilitas Kesehatan,Makassar,6,6,144,315,1,4970000000,2025-05-15 14:01:21.359203
Dekat Akses Transportasi,Makassar,4,3,273,312,1,5360000000,2025-05-15 14:01:21.359563
Dekat Akses Transportasi,Makassar,3,2,55,64,1,815000000,2025-05-15 14:01:21.359911
Rumah Puri Mutiara Monginsidi,Makassar,3,4,145,165,0,4200000000,2025-05-15 14:01:21.360249
Rumah di Gunung Salahutu Makassar SHM 2 Lantai Super Strategis,Makassar,5,4,134,113,1,1100000000,2025-05-15 14:01:21.360592
Dekat Sekolah,Makassar,4,3,234,222,1,3800000000,2025-05-15 14:01:21.360947
Dekat Sekolah,Makassar,2,2,112,131,1,1700000000,2025-05-15 14:01:21.361298
Dekat Sekolah,Makassar,4,3,162,198,1,2860000000,2025-05-15 14:01:21.361712
RUMAH DAERAH POROS EKONOMI (TOTAL LAHAN 17x43),Makassar,2,1,618,209,0,13000000000,2025-05-15 14:01:21.362056
Bebas Banjir,Makassar,3,3,120,149,1,2310000000,2025-05-15 14:01:21.362422
Bebas Banjir,Makassar,3,3,109,107,1,1910000000,2025-05-15 14:01:21.362795
Siap Huni,Makassar,4,3,300,400,1,5500000000,2025-05-15 14:01:21.363685
Dekat Akses Transportasi,Makassar,2,1,60,48,2,550000000,2025-05-15 14:01:21.364041
Bebas Banjir,Makassar,3,2,150,120,1,1300000000,2025-05-15 14:01:21.364403
Dekat Sekolah,Makassar,2,1,75,53,0,330000000,2025-05-15 14:01:21.365083
Dekat Pusat Perbelanjaan,Makassar,4,4,133,182,0,2000000000,2025-05-15 14:01:21.365445
Dekat Sekolah,Makassar,6,4,135,150,0,1200000000,2025-05-15 14:01:23.741934
Dekat Sekolah,Makassar,4,4,1225,500,0,45000000000,2025-05-15 14:01:23.742225
Dekat Sekolah,Makassar,80,80,1574,2500,0,22000000000,2025-05-15 14:01:23.742508
Dekat Sekolah,Makassar,4,6,650,154,0,5000000000,2025-05-15 14:01:23.742802
Siap Huni,Makassar,2,1,81,81,1,545000000,2025-05-15 14:01:23.743113
Jual Rumah 1 Lt Tanjung Bunga Inc Perabot,Makassar,2,1,105,77,0,800000000,2025-05-15 14:01:23.743360
Dijual Rumah Di Tengah Kota Kondisi Perlu Renov Terletak Tengah Kota Masuk Lr.,Makassar,3,1,107,88,0,850000000,2025-05-15 14:01:23.743635
Dekat Akses Transportasi,Makassar,2,1,60,37,2,516000000,2025-05-15 14:01:23.743941
Dekat Akses Transportasi,Makassar,2,1,60,37,2,554000000,2025-05-15 14:01:23.744229
Dekat Akses Transportasi,Makassar,2,1,79,45,0,300000000,2025-05-15 14:01:23.744522
"Rumah di Komplek Graha Satelit, Jl. Sultan Hasanuddin, Pandang Pandang, Somba Opu, Gowa, Sulawesi Selatan, Indonesia, 92115, Makassar Bagus SHM",Makassar,4,3,120,140,1,1200000000,2025-05-15 14:01:23.744769
"Rumah Bagus di Komplek Graha Satelit, Jl. Sultan Hasanuddin, Pandang Pandang, Somba Opu, Gowa, Sulawesi Selatan, Indonesia, 92115, Makassar SHM",Makassar,4,3,180,120,1,1200000000,2025-05-15 14:01:23.745032
Dekat Sekolah,Makassar,4,3,100,90,2,1140000000,2025-05-15 14:01:23.745330
New Launching Hunian Estetik di Kota Daeng Ayana Park,Makassar,2,1,72,40,1,399000000,2025-05-15 14:01:23.745618
Rumah Pettarani Makassar,Makassar,5,5,180,234,1,2500000000,2025-05-15 14:01:23.745970
Siap Huni,Makassar,3,3,78,93,0,1500000000,2025-05-15 14:01:23.746271
Siap Huni,Makassar,4,3,180,191,1,3250000000,2025-05-15 14:01:23.746574
Bebas Banjir,Makassar,4,3,115,120,2,1990000000,2025-05-15 14:01:23.746886
Bebas Banjir,Makassar,4,3,120,240,1,1700000000,2025-05-15 14:01:23.747176
Dekat Akses Transportasi,Makassar,1,1,39,60,0,300000000,2025-05-15 14:01:23.747464
Dekat Akses Transportasi,Makassar,3,2,60,67,1,749000000,2025-05-15 14:01:26.078429
Subsidi,Makassar,3,3,116,160,2,1680000000,2025-05-15 14:01:26.078838
Siap Huni,Makassar,2,1,90,47,2,700000000,2025-05-15 14:01:26.079221
Siap Huni,Makassar,5,4,180,170,2,1950000000,2025-05-15 14:01:26.079571
Siap Huni,Makassar,2,1,90,45,1,581000000,2025-05-15 14:01:26.079907
Siap Huni,Makassar,3,2,72,144,0,2560000000,2025-05-15 14:01:26.080240
Dekat Sekolah,Makassar,4,2,84,96,1,1500000000,2025-05-15 14:01:26.080569
Rumah 2 Lantai Type Terbaru Desain Mewah Klasik di Makassar,Makassar,4,4,252,235,2,4800000000,2025-05-15 14:01:26.080892
Dekat Akses Transportasi,Makassar,2,1,60,37,1,500000000,2025-05-15 14:01:26.081191
Jual Rumah 2 Lt Di Tengah Kota,Makassar,4,2,182,280,1,1600000000,2025-05-15 14:01:26.081484
Siap Huni,Makassar,4,3,102,204,1,1150000000,2025-05-15 14:01:26.081773
Siap Huni,Makassar,5,4,252,267,2,4600000000,2025-05-15 14:01:26.082055
"Rumah 2 Lantai, Citraland Celebes Makassar, SHM, Kondisi sangat Bagus",Makassar,3,3,16200,13000,2,3150000000,2025-05-15 14:01:26.082342
Siap Huni,Makassar,4,4,200,340,0,3600000000,2025-05-15 14:01:26.082645
Siap Huni,Makassar,3,2,112,100,1,1700000000,2025-05-15 14:01:26.082897
Dekat Sekolah,Makassar,3,2,68,84,2,968000000,2025-05-15 14:01:26.083199
Bebas Banjir,Makassar,2,1,40,72,0,399000000,2025-05-15 14:01:26.083490
Bebas Banjir,Makassar,2,1,72,40,0,399000000,2025-05-15 14:01:26.083785
Bebas Banjir,Makassar,5,3,100,90,0,950000000,2025-05-15 14:01:26.084070
Siap Huni,Makassar,4,3,115,100,1,1350000000,2025-05-15 14:01:26.084364
Jual Rumah Murah Tengah Kota Makassar,Makassar,2,1,140,120,1,800000000,2025-05-15 14:01:28.395776
Rumah 2 Lantai Type Klasik Modern di Makassar,Makassar,4,3,180,219,2,3000000000,2025-05-15 14:01:28.396093
Dekat Sekolah,Makassar,4,4,120,120,2,3900000000,2025-05-15 14:01:28.396406
Siap Huni,Makassar,4,2,72,74,0,1100000000,2025-05-15 14:01:28.396707
Siap Huni,Makassar,4,2,72,74,0,1100000000,2025-05-15 14:01:28.397010
Bebas Banjir,Makassar,2,1,40,72,1,399000000,2025-05-15 14:01:28.397323
"Rumah di Sekitar Jl Veteran, Jl Sungai Saddang, Rappocini
, Makassar",Makassar,5,4,124,200,1,1800000000,2025-05-15 14:01:28.397616
Siap Huni,Makassar,4,2,72,74,0,1100000000,2025-05-15 14:01:28.397910
Siap Huni,Makassar,4,2,72,74,0,1100000000,2025-05-15 14:01:28.398208
Dekat Akses Transportasi,Makassar,3,2,67,60,1,700000000,2025-05-15 14:01:28.398508
Dekat Sekolah,Makassar,4,2,84,96,2,1500000000,2025-05-15 14:01:28.398812
Dekat Sekolah,Makassar,4,3,180,219,2,3300000000,2025-05-15 14:01:28.399115
Dekat Sekolah,Makassar,3,3,144,163,1,2500000000,2025-05-15 14:01:28.399410
Dijual Rumah 1 1/2 Murah Aman Dan Nyaman,Makassar,4,2,98,80,0,1550000000,2025-05-15 14:01:28.399659
Dijual Rumah 2 1/2 Murah Aman Dan Nyaman,Makassar,4,3,150,100,0,1400000000,2025-05-15 14:01:28.399906
Dekat Sekolah,Makassar,5,5,180,203,0,3920000000,2025-05-15 14:01:28.400191
Siap Huni,Makassar,6,6,144,315,2,4970000000,2025-05-15 14:01:28.400489
Rumah Mewah 2 Lantai Posisi Sudut Di Citraland Celebes Hertasning,Makassar,5,4,212,168,2,3990000000,2025-05-15 14:01:28.400791
Siap Huni,Makassar,4,4,219,180,0,3000000000,2025-05-15 14:01:28.401082
Dekat Akses Transportasi,Makassar,3,2,67,60,1,788000000,2025-05-15 14:01:28.401369
Dekat Akses Transportasi,Makassar,3,1,60,48,2,615000000,2025-05-15 14:01:30.731357
Dekat Akses Transportasi,Makassar,3,3,91,84,0,1200000000,2025-05-15 14:01:30.731727
Dekat Sekolah,Makassar,4,4,219,180,0,3000000000,2025-05-15 14:01:30.732089
Siap Huni,Makassar,3,2,60,67,2,786000000,2025-05-15 14:01:30.732466
Siap Huni,Makassar,3,1,48,60,1,627000000,2025-05-15 14:01:30.732828
Siap Huni,Makassar,2,1,37,60,1,560000000,2025-05-15 14:01:30.733180
Siap Huni,Makassar,5,5,615,484,0,17500000000,2025-05-15 14:01:30.733811
Rumah Murah Dan Mewah 900 Jutaan 4 Kamar The Harvest,Makassar,4,3,72,80,0,988000000,2025-05-15 14:01:30.734140
Siap Huni,Makassar,4,3,72,82,3,988000000,2025-05-15 14:01:30.734785
Siap Huni,Makassar,3,3,84,91,3,1200000000,2025-05-15 14:01:30.735162
Siap Huni,Makassar,3,2,64,55,0,777000000,2025-05-15 14:01:30.735526
Dekat Akses Transportasi,Makassar,3,1,48,60,0,615000000,2025-05-15 14:01:30.735906
Siap Huni,Makassar,1,2,346,340,0,9000000000,2025-05-15 14:01:30.736269
Dekat Akses Transportasi,Makassar,3,1,60,48,0,615000000,2025-05-15 14:01:30.736614
Dijual Rumah Baru 1 Lantai Tipe 54/90 Nyaman,Makassar,2,2,90,54,0,475000000,2025-05-15 14:01:30.736950
Subsidi,Makassar,3,3,101,90,2,1600000000,2025-05-15 14:01:30.737314
Dekat Sekolah,Makassar,3,2,89,77,1,1500000000,2025-05-15 14:01:30.737657
Siap Huni,Makassar,3,3,300,270,1,4250000000,2025-05-15 14:01:33.041794
Siap Huni,Makassar,7,5,330,273,1,2600000000,2025-05-15 14:01:33.042507
Dekat Pusat Perbelanjaan,Makassar,4,3,144,210,0,3800000000,2025-05-15 14:01:33.043093
Siap Huni,Makassar,3,2,120,80,0,1100000000,2025-05-15 14:01:33.043449
Siap Huni,Makassar,4,3,791,350,1,8500000000,2025-05-15 14:01:33.043745
Siap Huni,Makassar,4,3,300,400,1,5500000000,2025-05-15 14:01:33.044074
Siap Huni,Makassar,3,3,163,122,0,2200000000,2025-05-15 14:01:33.044348
Siap Huni,Makassar,3,1,142,70,0,1000000000,2025-05-15 14:01:33.044694
Rumah kost tengah kota lokasi strategis,Makassar,10,12,300,225,0,5500000000,2025-05-15 14:01:33.045039
Rumah di hertasning baru perumahan royal spring,Makassar,2,1,105,56,0,750000000,2025-05-15 14:01:33.045319
Jual Rumah Cantik 2 Lt Type Mahogani Tanjung Bunga 10x20m2,Makassar,3,3,200,185,0,3250000000,2025-05-15 14:01:33.046564
Jual Rumah,Makassar,3,2,300,185,0,12000000000,2025-05-15 14:01:33.046841
Dekat Fasilitas Kesehatan,Makassar,5,2,150,49,0,2500000000,2025-05-15 14:01:33.047157
Siap Huni,Makassar,4,2,172,120,0,1400000000,2025-05-15 14:01:33.047462
Jual Rumah 2 Lt Jl.timah 4,Makassar,3,2,140,108,0,2300000000,2025-05-15 14:01:33.047723
Jual Rumah Komp Mawar Jl.penganyoman,Makassar,2,1,72,58,0,1200000000,2025-05-15 14:01:33.048017
Dekat Sekolah,Makassar,2,1,72,42,1,400000000,2025-05-15 14:01:35.351032
Jual Rumahmewah 2 Lt,Makassar,4,3,145,125,0,4250000000,2025-05-15 14:01:35.351538
Bebas Banjir,Makassar,4,5,360,700,0,7500000000,2025-05-15 14:01:35.352528
Dekat Sekolah,Makassar,3,2,84,96,2,1380000000,2025-05-15 14:01:35.354134
Dekat Akses Transportasi,Makassar,4,3,273,312,1,5370000000,2025-05-15 14:01:35.354433
Siap Huni,Makassar,2,1,78,36,1,490000000,2025-05-15 14:01:37.655780
Siap Huni,Makassar,5,4,120,170,2,1500000000,2025-05-15 14:01:37.656187
Dekat Sekolah,Makassar,3,3,234,222,1,3670000000,2025-05-15 14:01:37.656523
