Title,Lokasi,Jumlah Kamar Tidur,Jumlah Kamar Mandi,Luas Tanah,Luas Bangunan,Car Port,Price,Timestamp
Dekat Sekolah,Makassar,2,2,1150,1000,0,53000000000,2025-05-15 14:01:37.656854
Siap Huni,Makassar,5,3,225,225,1,2300000000,2025-05-15 14:01:37.657192
Dekat Sekolah,Makassar,4,3,234,222,1,3800000000,2025-05-15 14:01:37.657509
Dekat Sekolah,Makassar,4,4,180,219,1,3150000000,2025-05-15 14:01:37.658059
Full Furnished,Makassar,4,3,135,270,1,2800000000,2025-05-15 14:01:37.658391
Dekat Sekolah,Makassar,4,3,162,198,1,2850000000,2025-05-15 14:01:37.658724
Bebas Banjir,Makassar,3,3,120,120,1,2100000000,2025-05-15 14:01:37.659060
Bebas Banjir,Makassar,2,1,72,36,1,807000000,2025-05-15 14:01:37.659387
Bebas Banjir,Makassar,3,2,90,61,1,1240000000,2025-05-15 14:01:37.659707
Puri Taman sari Toddopuli Makassar,Makassar,2,1,119,36,1,550000000,2025-05-15 14:01:37.660026
Bebas Banjir,Makassar,3,2,60,70,1,950000000,2025-05-15 14:01:37.660350
Dekat Sekolah,Makassar,5,7,760,1000,0,13500000000,2025-05-15 14:01:37.661210
Dekat Sekolah,Makassar,5,4,200,400,0,4900000000,2025-05-15 14:01:37.661523
Dekat Sekolah,Makassar,5,5,240,400,0,5000000000,2025-05-15 14:01:39.984722
Dekat Sekolah,Makassar,4,4,150,250,0,2100000000,2025-05-15 14:01:39.985049
Dekat Tempat Wisata,Makassar,4,4,320,500,0,4000000000,2025-05-15 14:01:39.985411
"Dijual Rumah Tinggal 2 Lantai di Citraland Celebes, Kota Makassar",Makassar,5,4,370,245,6,4500000000,2025-05-15 14:01:39.985770
Full Furnished,Makassar,4,5,200,200,2,8000000000,2025-05-15 14:01:39.986094
DP 0%,Makassar,3,2,80,72,1,865000000,2025-05-15 14:01:39.986435
Dijual Rumah Tua 1 Lantai Jl Sangir Lorong Makassar,Makassar,3,2,107,88,0,800000000,2025-05-15 14:01:39.986701
Bebas Banjir,Makassar,3,3,90,85,2,900000000,2025-05-15 14:01:39.987037
Siap Huni,Makassar,4,3,156,135,1,1750000000,2025-05-15 14:01:39.987374
Full Furnished,Makassar,3,2,135,120,1,1600000000,2025-05-15 14:01:39.987669
"Rumah Bagus SHM di Citraland Tallasa City Makassar, Jl. Jalur Lingkar Barat, Kapasa, Tamalanrea, Kota Makassar, Sulawesi Selatan, Indonesia, 90241, Makassar",Makassar,5,4,300,267,1,6500000000,2025-05-15 14:01:39.987947
Siap Huni,Makassar,2,2,73,45,2,670000000,2025-05-15 14:01:39.988271
Full Furnished,Makassar,5,5,119,200,2,4200000000,2025-05-15 14:01:39.988591
Siap Huni,Makassar,5,5,162,200,2,6500000000,2025-05-15 14:01:39.989086
Siap Huni,Makassar,3,2,75,70,1,850000000,2025-05-15 14:01:39.989651
Full Furnished,Makassar,5,5,211,208,2,2500000000,2025-05-15 14:01:39.990010
Rumah Bagus Di Grand Orchard di Makassar SHM,Makassar,3,2,105,140,2,1500000000,2025-05-15 14:01:39.990295
Rumah Pusat Kota Gunung Nona Makassar,Makassar,3,2,260,150,1,4000000000,2025-05-15 14:01:39.990621
Siap Huni,Makassar,2,2,70,75,1,850000000,2025-05-15 14:01:39.991178
Rumah 2lantai Shm Jl Balana Makassar,Makassar,4,2,162,400,2,2000000000,2025-05-15 14:01:39.991480
Dijual Runah 2 Lt Siap.huni.jl.comgajah,Makassar,4,4,200,245,1,5000000000,2025-05-15 14:01:42.400787
Dijual Rumah Siap.pakai.mrwah Di Jl.cepa,Makassar,5,4,251,535,1,4500000000,2025-05-15 14:01:42.401044
RUMAH ANGING MAMMIRI HERTASNING LAMA. 9x16. POSISI DEPAN TAMAN. 4 KAMAR TIDUR.,Makassar,4,2,144,70,1,1100000000,2025-05-15 14:01:42.401339
Dekat Akses Transportasi,Makassar,4,2,75,84,1,1200000000,2025-05-15 14:01:42.401646
Dekat Sekolah,Makassar,4,2,75,84,1,1200000000,2025-05-15 14:01:42.401955
Dijual Rumah Mewah Di Grand City Jl Veteran Selatan Makassar,Makassar,4,4,200,600,0,8000000000,2025-05-15 14:01:42.402202
Full Furnished,Makassar,5,4,208,250,2,2800000000,2025-05-15 14:01:42.402502
Siap Huni,Makassar,4,3,198,250,2,2700000000,2025-05-15 14:01:42.402798
Dekat Sekolah,Makassar,2,2,1150,1000,0,53000000000,2025-05-15 14:01:42.403095
Siap Huni,Makassar,3,3,105,100,1,900000000,2025-05-15 14:01:42.403397
Siap Huni,Makassar,2,1,90,47,1,700000000,2025-05-15 14:01:42.403732
Siap Huni,Makassar,7,4,216,231,1,4000000000,2025-05-15 14:01:42.404042
Dekat Fasilitas Kesehatan,Makassar,2,2,126,70,0,2400000000,2025-05-15 14:01:42.404339
Bebas Banjir,Makassar,3,3,160,103,1,2300000000,2025-05-15 14:01:42.404643
Bebas Banjir,Makassar,3,3,115,120,2,1990000000,2025-05-15 14:01:42.404946
Bebas Banjir,Makassar,6,6,800,320,0,8500000000,2025-05-15 14:01:42.405244
Bebas Banjir,Makassar,4,3,153,155,2,1800000000,2025-05-15 14:01:42.405554
Bebas Banjir,Makassar,4,2,105,154,0,1150000000,2025-05-15 14:01:42.405867
Bebas Banjir,Makassar,6,3,600,350,2,5500000000,2025-05-15 14:01:42.406219
Subsidi,Makassar,2,2,60,70,1,974000000,2025-05-15 14:01:42.406598
Siap Huni,Makassar,2,2,78,45,1,500000000,2025-05-15 14:01:44.716160
Bebas Banjir,Makassar,3,3,112,270,3,2000000000,2025-05-15 14:01:44.716479
Bebas Banjir,Makassar,5,5,480,690,2,20000000000,2025-05-15 14:01:44.716809
Dekat Fasilitas Kesehatan,Makassar,3,2,87,143,0,2000000000,2025-05-15 14:01:44.717077
Bebas Banjir,Makassar,7,4,369,400,1,2500000000,2025-05-15 14:01:44.717394
Bebas Banjir,Makassar,3,2,120,68,1,1200000000,2025-05-15 14:01:44.717696
Dijual Rumah Tua 1/2 Lt Murah Jalan Harimau Makassar,Makassar,3,1,99,85,1,950000000,2025-05-15 14:01:44.717967
Dekat Pusat Perbelanjaan,Makassar,8,8,452,600,0,6800000000,2025-05-15 14:01:44.718273
Siap Huni,Makassar,3,2,78,120,0,1600000000,2025-05-15 14:01:44.718567
Siap Huni,Makassar,3,2,78,120,0,1600000000,2025-05-15 14:01:44.718898
Siap Huni,Makassar,5,5,240,200,0,2300000000,2025-05-15 14:01:44.719202
Bebas Banjir,Makassar,3,2,135,200,1,1300000000,2025-05-15 14:01:44.719500
Siap Huni,Makassar,4,4,200,340,0,3600000000,2025-05-15 14:01:44.719811
JUAL Rumah grand orchard tanjung bunga belakangnya dian harapan school,Makassar,2,1,120,50,1,800000000,2025-05-15 14:01:44.720065
"Dijual Rumah 2 Lantai Termurah Dalam Kota, Parkiran Bisa Muat 5 Mobil",Makassar,3,2,135,88,1,975000000,2025-05-15 14:01:44.720368
DIJUAL RUMAH DI JALAN BESAR COCOK BUAT USAHA,Makassar,5,2,190,150,0,2800000000,2025-05-15 14:01:44.720660
JUAL Rumah taman metropolitan tanjung bunga lengkap perabot,Makassar,3,2,90,120,1,750000000,2025-05-15 14:01:44.720923
Dijual Rumah 1 Lt,Makassar,3,1,120,85,1,1300000000,2025-05-15 14:01:44.721181
Dekat Sekolah,Makassar,3,2,77,89,2,1300000000,2025-05-15 14:01:44.721725
Siap Huni,Makassar,2,1,82,104,0,1400000000,2025-05-15 14:01:47.046425
Siap Huni,Makassar,3,2,112,130,0,950000000,2025-05-15 14:01:47.046746
Dekat Pusat Perbelanjaan,Makassar,5,3,415,387,0,5000000000,2025-05-15 14:01:47.047054
Siap Huni,Makassar,3,3,119,160,0,2500000000,2025-05-15 14:01:47.047370
Siap Huni,Makassar,3,3,119,160,0,2500000000,2025-05-15 14:01:47.047681
Dekat Sekolah,Makassar,4,5,274,550,0,7500000000,2025-05-15 14:01:47.047991
Dekat Sekolah,Makassar,2,1,120,160,0,1200000000,2025-05-15 14:01:47.048276
Dekat Tempat Ibadah,Makassar,5,5,300,368,3,7360000000,2025-05-15 14:01:47.048580
Dekat Pusat Perbelanjaan,Makassar,3,2,105,120,0,1250000000,2025-05-15 14:01:47.048872
Dekat Pusat Perbelanjaan,Makassar,3,2,105,120,0,1250000000,2025-05-15 14:01:47.049134
"Rumah 2 Lantai, Poros Utama Citra Garden Citraland",Makassar,3,3,120,91,2,1480000000,2025-05-15 14:01:47.049429
Dekat Sekolah,Makassar,4,4,252,235,2,4890000000,2025-05-15 14:01:47.049742
Dekat Sekolah,Makassar,3,2,90,73,2,1270000000,2025-05-15 14:01:47.050054
Dekat Pusat Perbelanjaan,Makassar,3,2,65,55,0,650000000,2025-05-15 14:01:47.050347
Dekat Pusat Perbelanjaan,Makassar,3,2,90,120,0,1250000000,2025-05-15 14:01:47.050603
Rumah Murah 2 Lantai Tengah Kota Dengan Konsep Modern,Makassar,4,4,99,110,1,1870000000,2025-05-15 14:01:47.050925
Siap Huni,Makassar,4,3,76,130,2,1450000000,2025-05-15 14:01:47.051190
Subsidi,Makassar,4,4,84,75,2,1170000000,2025-05-15 14:01:47.051759
Dekat Pusat Perbelanjaan,Makassar,2,1,72,45,0,400000000,2025-05-15 14:01:47.052102
Dekat Pusat Perbelanjaan,Makassar,2,1,72,72,0,650000000,2025-05-15 14:01:49.386063
Subsidi,Makassar,3,3,72,60,1,979000000,2025-05-15 14:01:49.386420
Subsidi,Makassar,2,2,60,50,1,798000000,2025-05-15 14:01:49.386763
Rumah Dijual Di Makassar 2 Lantai Di Pettarani,Makassar,5,5,180,300,2,2700000000,2025-05-15 14:01:49.387093
Siap Huni,Makassar,3,2,67,60,2,786000000,2025-05-15 14:01:49.387447
Dekat Sekolah,Makassar,5,5,180,203,0,3920000000,2025-05-15 14:01:49.387780
Siap Huni,Makassar,3,2,67,60,0,786000000,2025-05-15 14:01:49.388143
Siap Huni,Makassar,3,2,86,55,0,800000000,2025-05-15 14:01:49.388513
Dekat Akses Transportasi,Makassar,3,3,84,91,2,1200000000,2025-05-15 14:01:49.388895
Siap Huni,Makassar,2,1,38,60,1,560000000,2025-05-15 14:01:49.389493
Siap Huni,Makassar,4,3,72,82,2,988000000,2025-05-15 14:01:49.389905
Siap Huni,Makassar,3,2,78,63,2,999000000,2025-05-15 14:01:49.390262
DP 0%,Makassar,3,3,72,90,2,1650000000,2025-05-15 14:01:49.390764
Dekat Akses Transportasi,Makassar,2,2,50,58,1,749000000,2025-05-15 14:01:49.391133
Dekat Akses Transportasi,Makassar,3,3,84,91,2,1200000000,2025-05-15 14:01:49.391539
Siap Huni,Makassar,4,4,72,82,2,988000000,2025-05-15 14:01:49.391893
Dekat Akses Transportasi,Makassar,2,1,37,60,0,560000000,2025-05-15 14:01:49.392225
Dekat Akses Transportasi,Makassar,3,1,48,60,0,621000000,2025-05-15 14:01:49.392551
Dekat Fasilitas Kesehatan,Makassar,4,3,115,120,2,1990000000,2025-05-15 14:01:49.392879
Dekat Fasilitas Kesehatan,Makassar,6,4,255,374,0,3500000000,2025-05-15 14:01:49.393188
Dekat Akses Transportasi,Makassar,3,2,60,67,0,787000000,2025-05-15 14:01:51.691870
Siap Huni,Makassar,4,3,72,82,2,988000000,2025-05-15 14:01:51.692239
Siap Huni,Makassar,4,3,82,72,0,900000000,2025-05-15 14:01:51.692590
Siap Huni,Makassar,4,3,82,72,1,900000000,2025-05-15 14:01:51.692940
Dekat Akses Transportasi,Makassar,3,2,64,55,1,777000000,2025-05-15 14:01:51.693591
Dijual Rumah 1 Lt Jl.timah Lt.15x20m2 Ada 4 K.t Dan 4k.m Info Hub 085100065xxx,Makassar,4,3,300,158,0,4250000000,2025-05-15 14:01:51.693879
Siap Huni,Makassar,4,3,232,116,1,900000000,2025-05-15 14:01:51.694208
Jual Rumah Cantik 2 Lt,Makassar,4,4,172,105,0,3250000000,2025-05-15 14:01:51.695764
Jual Rumah Cantik  1 Lt Di Orcharf,Makassar,3,2,150,90,0,1350000000,2025-05-15 14:01:51.696045
Dekat Pusat Perbelanjaan,Makassar,3,2,150,105,1,2500000000,2025-05-15 14:01:51.697297
Dekat Akses Transportasi,Makassar,3,2,60,67,1,779000000,2025-05-15 14:01:54.019530
Dekat Pusat Perbelanjaan,Makassar,8,5,300,600,0,4000000000,2025-05-15 14:01:54.019889
Dekat Akses Transportasi,Makassar,4,4,144,171,3,3200000000,2025-05-15 14:01:54.020256
Dekat Sekolah,Makassar,2,2,88,55,1,815000000,2025-05-15 14:01:54.020611
Dekat Akses Transportasi,Makassar,3,3,65,95,1,815000000,2025-05-15 14:01:54.020988
Siap Huni,Makassar,3,3,96,192,0,1500000000,2025-05-15 14:01:54.021345
Siap Huni,Makassar,4,3,196,150,0,1200000000,2025-05-15 14:01:54.021703
Full Furnished,Makassar,11,9,1217,980,0,22500000000,2025-05-15 14:01:54.022060
Dekat Sekolah,Makassar,3,2,55,64,1,808000000,2025-05-15 14:01:54.022418
Bebas Banjir,Makassar,3,3,120,120,1,2100000000,2025-05-15 14:01:54.022788
Bebas Banjir,Makassar,4,3,135,162,1,2560000000,2025-05-15 14:01:54.023163
Siap Huni,Makassar,2,1,120,70,1,1480000000,2025-05-15 14:01:54.023532
Bebas Banjir,Makassar,4,3,135,148,1,2420000000,2025-05-15 14:01:54.023897
Dekat Sekolah,Makassar,3,2,72,80,1,825000000,2025-05-15 14:01:54.024253
Full Furnished,Makassar,3,1,105,70,1,950000000,2025-05-15 14:01:54.024609
Bebas Banjir,Makassar,3,3,187,160,2,1200000000,2025-05-15 14:01:54.024979
Siap Huni,Makassar,2,1,90,50,1,555000000,2025-05-15 14:01:54.025337
"Kavling Rumah Tua Jalan Tupai Makassar. Strategis Tengah Kota. Luas 135. 11,6 X 11,7 . Shm.",Makassar,1,1,135,70,1,1280000000,2025-05-15 14:01:54.025684
Subsidi,Makassar,3,3,120,100,1,1330000000,2025-05-15 14:01:54.026051
Dekat Tempat Wisata,Makassar,7,4,461,318,0,8000000000,2025-05-15 14:01:56.408141
Siap Huni,Makassar,3,3,200,209,2,4250000000,2025-05-15 14:01:56.408463
Siap Huni,Makassar,2,1,77,50,1,344000000,2025-05-15 14:01:56.408775
Siap Huni,Makassar,4,3,320,450,2,2700000000,2025-05-15 14:01:56.409083
Subsidi,Makassar,200,100,22000,10000,0,83000000000,2025-05-15 14:01:56.409373
Dekat Sekolah,Makassar,5,4,200,500,0,4500000000,2025-05-15 14:01:56.409666
Dekat Sekolah,Makassar,6,4,112,160,0,2500000000,2025-05-15 14:01:56.409966
Dekat Sekolah,Makassar,64,64,1323,4000,0,33000000000,2025-05-15 14:01:56.410261
Hunian Modern,Makassar,5,4,216,242,1,3750000000,2025-05-15 14:01:56.410558
Dekat Area Perkantoran & Kuliner,Makassar,4,3,194,150,1,2500000000,2025-05-15 14:01:56.410830
Rumah Jl Athira 1 Makassar Bagus Shm,Makassar,6,3,250,450,1,4000000000,2025-05-15 14:01:56.411115
DP 0%,Makassar,3,2,80,72,1,865000000,2025-05-15 14:01:56.411428
Dekat Sekolah,Makassar,4,5,169,490,0,6000000000,2025-05-15 14:01:56.411724
Bebas Banjir,Makassar,5,2,144,160,0,3700000000,2025-05-15 14:01:56.412461
Bebas Banjir,Makassar,2,1,40,72,0,399000000,2025-05-15 14:01:56.412755
Bebas Banjir,Makassar,2,1,40,72,0,399000000,2025-05-15 14:01:56.413051
"Dijual Rumah Makassar sekitar jl. Hertasning, jl. Tamalate, jl. Skarda",Makassar,4,2,96,96,0,680000000,2025-05-15 14:01:56.413346
Rumah Cantik Makassar Lokasi Strategis Pusat Kota Baru,Makassar,4,2,75,84,1,1200000000,2025-05-15 14:01:56.413653
DP 0%,Makassar,3,3,120,91,2,1500000000,2025-05-15 14:01:56.413964
Siap Huni,Makassar,2,1,72,43,0,650000000,2025-05-15 14:01:58.707147
Rumah Super Mewah  Di Makassar,Makassar,6,5,1217,980,2,20000000000,2025-05-15 14:01:58.707467
Dekat Sekolah,Makassar,3,4,151,179,1,1200000000,2025-05-15 14:01:58.707813
Dekat Sekolah,Makassar,3,4,151,179,1,1200000000,2025-05-15 14:01:58.708150
Bebas Banjir,Makassar,4,3,85,128,1,1200000000,2025-05-15 14:01:58.708605
Jual Rumah Tanjung Bunga Cluster Taman.kayangan,Makassar,3,2,93,70,0,775000000,2025-05-15 14:01:58.708963
Siap Huni,Makassar,4,4,170,165,1,1600000000,2025-05-15 14:01:58.709234
Full Furnished,Makassar,4,4,140,120,1,2500000000,2025-05-15 14:01:58.709533
Full Furnished,Makassar,2,1,81,81,0,700000000,2025-05-15 14:01:58.709845
Siap Huni,Makassar,3,2,120,65,1,1250000000,2025-05-15 14:01:58.710107
Siap Huni,Makassar,2,4,120,96,1,2100000000,2025-05-15 14:01:58.710368
Siap Huni,Makassar,4,2,327,300,2,2000000000,2025-05-15 14:01:58.710623
Siap Huni,Makassar,3,2,75,65,1,800000000,2025-05-15 14:01:58.710954
Bebas Banjir,Makassar,6,3,800,840,1,4099999999,2025-05-15 14:01:58.711266
Siap Huni,Makassar,5,4,220,300,1,2500000000,2025-05-15 14:01:58.711583
Dekat Sekolah,Makassar,4,4,200,185,1,4900000000,2025-05-15 14:01:58.711851
Dijual Rumah Cantik 2 Lt,Makassar,4,3,258,185,0,4500000000,2025-05-15 14:01:58.712131
Dijual Rumah di Jalan Sultan Alauddin,Makassar,10,7,1200,800,3,17000000000,2025-05-15 14:01:58.712390
Dijual Rumah di Jalan Sultan Alauddin,Makassar,10,7,1200,800,4,17000000000,2025-05-15 14:01:58.712660
"Jual Murah, Rumah Mewah 2 Lantai Di Jl Domba Makassar",Makassar,7,5,330,220,0,2500000000,2025-05-15 14:01:58.712920
DIJUAL RUMAH MEWAH JALAN SUNU 3. LUAS 850 M2. 4 KAMAR TIDUR. COCOK KANTOR DAN HUNIAN,Makassar,5,4,880,1000,4,11000000000,2025-05-15 14:02:01.025028
Dekat Akses Transportasi,Makassar,2,1,60,36,0,799000000,2025-05-15 14:02:01.025388
Dekat Fasilitas Kesehatan,Makassar,5,2,150,49,0,2500000000,2025-05-15 14:02:01.025735
Dekat Sekolah,Makassar,3,3,84,91,1,1200000000,2025-05-15 14:02:01.026055
Bebas Banjir,Makassar,2,1,40,72,1,399000000,2025-05-15 14:02:01.026384
La Grande Citraland Celebes Hertasning,Makassar,4,5,300,289,2,7060000000,2025-05-15 14:02:01.027043
Dekat Akses Transportasi,Makassar,5,4,180,219,2,3270000000,2025-05-15 14:02:01.027394
Dekat Akses Transportasi,Makassar,4,4,162,198,1,2950000000,2025-05-15 14:02:01.027729
Dekat Akses Transportasi,Makassar,4,3,72,82,1,998000000,2025-05-15 14:02:01.028076
Dekat Sekolah,Makassar,3,1,78,50,1,599000000,2025-05-15 14:02:01.028406
Rumah 2 Lantai Konsep Rumah Jepang di Makassar,Makassar,4,3,250,312,2,3500000000,2025-05-15 14:02:01.028725
Dekat Sekolah,Makassar,4,2,85,96,1,1290000000,2025-05-15 14:02:01.029045
Dekat Sekolah,Makassar,3,3,70,100,1,1000000000,2025-05-15 14:02:01.029356
Dekat Pusat Perbelanjaan,Makassar,5,4,240,312,2,6110000000,2025-05-15 14:02:01.029664
Siap Huni,Makassar,4,3,180,220,2,3840000000,2025-05-15 14:02:01.029974
Full Furnished,Makassar,4,3,90,70,2,1160000000,2025-05-15 14:02:01.030279
Dekat Pusat Perbelanjaan,Makassar,3,2,60,120,0,1500000000,2025-05-15 14:02:01.030553
Siap Huni,Makassar,3,1,140,185,0,1300000000,2025-05-15 14:02:01.030863
Bebas Banjir,Makassar,5,5,203,180,2,3900000000,2025-05-15 14:02:01.031157
Rumah Strategis Makassar Pusat Belanja Dan Kota Fasilitas Lengkap,Makassar,3,3,91,84,2,1200000000,2025-05-15 14:02:01.031447
Dekat Sekolah,Makassar,5,5,203,180,2,3900000000,2025-05-15 14:02:03.325116
Siap Huni,Makassar,4,4,203,180,2,3900000000,2025-05-15 14:02:03.325612
Siap Huni,Makassar,3,3,91,84,2,1200000000,2025-05-15 14:02:03.325983
Siap Huni,Makassar,4,4,82,72,2,988000000,2025-05-15 14:02:03.326366
Siap Huni,Makassar,4,3,82,72,2,989000000,2025-05-15 14:02:03.326729
Siap Huni,Makassar,3,2,67,60,2,786000000,2025-05-15 14:02:03.327087
Siap Huni,Makassar,4,3,72,82,2,988000000,2025-05-15 14:02:03.327433
Siap Huni,Makassar,4,3,82,72,0,988000000,2025-05-15 14:02:03.327767
Subsidi,Makassar,4,4,126,140,2,2650000000,2025-05-15 14:02:03.328104
Dekat Fasilitas Kesehatan,Makassar,2,2,65,71,2,1140000000,2025-05-15 14:02:03.328982
Dekat Sekolah,Makassar,5,6,240,230,2,5040000000,2025-05-15 14:02:03.329299
Dekat Akses Transportasi,Makassar,3,2,64,55,0,700000000,2025-05-15 14:02:03.329627
Rumah Cantik Gaya Jepang Dekat Pantai Halaman Asri,Makassar,4,4,198,162,0,3000000000,2025-05-15 14:02:03.330151
Siap Huni,Makassar,4,4,198,162,2,3000000000,2025-05-15 14:02:03.330478
Dijual Rumah Mewah Desain Kontemporer Jepang 2 Lantai,Makassar,4,4,198,162,2,3000000000,2025-05-15 14:02:03.330794
Full Furnished,Makassar,5,4,150,130,0,1500000000,2025-05-15 14:02:03.331112
Full Furnished,Makassar,4,2,96,228,0,1600000000,2025-05-15 14:02:03.331369
Siap Huni,Makassar,2,1,60,37,0,554000000,2025-05-15 14:02:03.331817
Dekat Akses Transportasi,Makassar,3,1,60,48,3,615000000,2025-05-15 14:02:05.702039
Dekat Akses Transportasi,Makassar,2,1,60,37,0,554000000,2025-05-15 14:02:05.702370
Siap Huni,Makassar,3,1,60,48,0,615000000,2025-05-15 14:02:05.702702
Siap Huni,Makassar,4,4,159,300,2,2000000000,2025-05-15 14:02:05.703032
Jual Rumah Cantik 1 Lt Jl.cendrawasih,Makassar,3,2,325,258,1,6000000000,2025-05-15 14:02:05.703631
Dekat Sekolah,Makassar,3,2,55,64,1,815000000,2025-05-15 14:02:05.705533
Siap Huni,Makassar,2,1,84,66,0,725000000,2025-05-15 14:02:05.707128
Dekat Sekolah,Makassar,4,3,180,219,1,3130000000,2025-05-15 14:02:05.707467
Dekat Pusat Perbelanjaan,Makassar,8,5,242,400,3,9000000000,2025-05-15 14:02:05.707808
Rumah Tua lokasi Strategis dalam kota Makassar,Makassar,4,3,694,900,0,25000000000,2025-05-15 14:02:05.708117
Bebas Banjir,Makassar,4,5,450,289,0,10300000000,2025-05-15 14:02:05.708427
Full Furnished,Makassar,4,5,294,230,0,7110000000,2025-05-15 14:02:08.106045
Dekat Sekolah,Makassar,4,3,234,222,1,3800000000,2025-05-15 14:02:08.106383
Bebas Banjir,Makassar,3,2,105,90,1,1600000000,2025-05-15 14:02:08.106733
RUMAH Nuansa Klasik Konteporer,Makassar,4,5,518,249,0,5500000000,2025-05-15 14:02:08.107055
Bebas Banjir,Makassar,3,2,105,90,1,1600000000,2025-05-15 14:02:08.107391
Rumah  komp PU Malengkeri Makassar,Makassar,5,3,238,238,1,900000000,2025-05-15 14:02:08.107718
Siap Huni,Makassar,4,3,135,162,1,2550000000,2025-05-15 14:02:08.108059
Bebas Banjir,Makassar,4,3,135,148,1,2420000000,2025-05-15 14:02:08.108395
Bebas Banjir,Makassar,3,3,120,120,1,2100000000,2025-05-15 14:02:08.108742
Dekat Akses Transportasi,Makassar,6,2,196,90,0,500000000,2025-05-15 14:02:08.109075
